"","Cluster","nome_coluna","V1"
"11",2,"RESERVED.EXPRESSION.UPDATED.global.error; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_RHS.UPDATED.global.error; RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.METHOD_CALL.REMOVED.global.error; RESERVED.VARIABLE_DECLARATION.REMOVED.global.error; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.METHOD_CALL.UPDATED.global.error; RESERVED.STATEMENT.INSERTED.global.new; 
""METHOD.METHOD_CALL.UPDATED.global.exec; RESERVED.ASSIGNMENT_LHS.REMOVED.global.import; RESERVED.ASSIGNMENT_LHS.UPDATED.global.error; RESERVED.ASSIGNMENT_RHS.REMOVED.global.import; RESERVED.CONDITION.REMOVED.global.new",1
"12",3,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.STATEMENT.UPDATED.global.var; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new",29
"13",3,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.STATEMENT.UPDATED.global.var; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new",1
"14",4,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.STATEMENT.UPDATED.global.var",4
"15",5,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; METHOD.METHOD_CALL.REMOVED.global.exec",36
"16",5,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; METHOD.METHOD_CALL.REMOVED.global.exec",2
"17",5,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; METHOD.METHOD_CALL.REMOVED.global.exec",1
"18",6,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error",149
"19",6,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error",2
"20",6,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error",1
"21",7,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.REMOVED.global.new",721
"22",7,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.REMOVED.global.new",12
"23",7,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.REMOVED.global.new",7
"24",7,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.REMOVED.global.new",4
"25",7,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.REMOVED.global.new",1
"26",8,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.new; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.ASSIGNMENT_RHS.UPDATED.global.error; RESERVED.EXPRESSION.UPDATED.global.error",95
"27",8,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.new; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.ASSIGNMENT_RHS.UPDATED.global.error; RESERVED.EXPRESSION.UPDATED.global.error",2
"28",8,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.new; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.ASSIGNMENT_RHS.UPDATED.global.error; RESERVED.EXPRESSION.UPDATED.global.error",1
"29",9,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.STATEMENT.INSERTED.global.new",127
"30",9,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.STATEMENT.INSERTED.global.new",3
"31",9,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.STATEMENT.INSERTED.global.new",1
"32",10,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.ARGUMENT.REMOVED.global.error",26
"33",10,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.ARGUMENT.REMOVED.global.error",2
"34",10,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.ARGUMENT.REMOVED.global.error",1
"35",11,"RESERVED.STATEMENT.INSERTED.global.var",11
"36",12,"RESERVED.STATEMENT.INSERTED.global.var; RESERVED.STATEMENT.REMOVED.global.new",16
"37",12,"RESERVED.STATEMENT.INSERTED.global.var; RESERVED.STATEMENT.REMOVED.global.new",1
"38",13,"METHOD.METHOD_CALL.INSERTED.global.test; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.STATEMENT.UPDATED.global.new",18
"39",13,"METHOD.METHOD_CALL.INSERTED.global.test; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.STATEMENT.UPDATED.global.new",2
"40",14,"METHOD.METHOD_CALL.INSERTED.global.test; RESERVED.STATEMENT.UPDATED.global.var",5
"41",15,"RESERVED.CONDITION.INSERTED.global.true; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.STATEMENT.UPDATED.global.new",164
"42",15,"RESERVED.CONDITION.INSERTED.global.true; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.STATEMENT.UPDATED.global.new",2
"43",16,"RESERVED.CONDITION.INSERTED.global.true; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.STATEMENT.UPDATED.global.new",18
"44",16,"RESERVED.CONDITION.INSERTED.global.true; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.STATEMENT.UPDATED.global.new",1
"45",17,"RESERVED.CONDITION.REMOVED.global.error; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.METHOD_CALL.REMOVED.global.error",35
"46",17,"RESERVED.CONDITION.REMOVED.global.error; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.METHOD_CALL.REMOVED.global.error",4
"47",17,"RESERVED.CONDITION.REMOVED.global.error; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.METHOD_CALL.REMOVED.global.error",3
"48",18,"RESERVED.CONDITION.REMOVED.global.error; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.METHOD_CALL.REMOVED.global.error",10
"49",18,"RESERVED.CONDITION.REMOVED.global.error; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.METHOD_CALL.REMOVED.global.error",2
"50",18,"RESERVED.CONDITION.REMOVED.global.error; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.METHOD_CALL.REMOVED.global.error",1
"51",19,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.STATEMENT.INSERTED.global.var; RESERVED.STATEMENT.INSERTED.global.new",7
"52",19,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.STATEMENT.INSERTED.global.var; RESERVED.STATEMENT.INSERTED.global.new",1
"53",20,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.STATEMENT.INSERTED.global.var; RESERVED.STATEMENT.UPDATED.global.new",5
"54",20,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.STATEMENT.INSERTED.global.var; RESERVED.STATEMENT.UPDATED.global.new",1
"55",22,"METHOD.METHOD_CALL.INSERTED.global.replace; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.INSERTED.global.new",31
"56",22,"METHOD.METHOD_CALL.INSERTED.global.replace; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.INSERTED.global.new",2
"57",22,"METHOD.METHOD_CALL.INSERTED.global.replace; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.INSERTED.global.new",1
"58",23,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.return; RESERVED.STATEMENT.REMOVED.global.return; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.INSERTED.global.new",9
"59",23,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.return; RESERVED.STATEMENT.REMOVED.global.return; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.INSERTED.global.new",1
"60",24,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.return; RESERVED.STATEMENT.REMOVED.global.return",13
"61",25,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.false; RESERVED.STATEMENT.UPDATED.global.new",76
"62",25,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.false; RESERVED.STATEMENT.UPDATED.global.new",1
"63",26,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.false; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.VARIABLE_DECLARATION.INSERTED.global.error",6
"64",26,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.false; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.VARIABLE_DECLARATION.INSERTED.global.error",1
"65",27,"FIELD.ASSIGNMENT_RHS.INSERTED.global.length; RESERVED.CONDITION.REMOVED.global.typeof; RESERVED.STATEMENT.INSERTED.global.new",19
"66",27,"FIELD.ASSIGNMENT_RHS.INSERTED.global.length; RESERVED.CONDITION.REMOVED.global.typeof; RESERVED.STATEMENT.INSERTED.global.new",1
"67",28,"FIELD.METHOD_CALL.REMOVED.global.global",9
"68",29,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.return; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new",100
"69",29,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.return; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new",4
"70",29,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.return; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new",1
"71",30,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.return; METHOD.METHOD_CALL.INSERTED.global.charCodeAt",16
"72",30,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.return; METHOD.METHOD_CALL.INSERTED.global.charCodeAt",1
"73",31,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.null; RESERVED.CONDITION.REMOVED.global.typeof; RESERVED.STATEMENT.INSERTED.global.new",22
"74",31,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.null; RESERVED.CONDITION.REMOVED.global.typeof; RESERVED.STATEMENT.INSERTED.global.new",1
"75",32,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.STATEMENT.UPDATED.global.new",15
"76",32,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.STATEMENT.UPDATED.global.new",1
"77",33,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.STATEMENT.INSERTED.global.new",7
"78",33,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.STATEMENT.INSERTED.global.new",1
"79",34,"RESERVED.ARGUMENT.REMOVED.global.this; RESERVED.STATEMENT.UPDATED.global.new",17
"80",34,"RESERVED.ARGUMENT.REMOVED.global.this; RESERVED.STATEMENT.UPDATED.global.new",1
"81",35,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.CONDITION.REMOVED.global.typeof; RESERVED.STATEMENT.INSERTED.global.new; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.STATEMENT.UPDATED.global.new",83
"82",35,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.CONDITION.REMOVED.global.typeof; RESERVED.STATEMENT.INSERTED.global.new; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.STATEMENT.UPDATED.global.new",11
"83",35,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.CONDITION.REMOVED.global.typeof; RESERVED.STATEMENT.INSERTED.global.new; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.STATEMENT.UPDATED.global.new",2
"84",35,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.CONDITION.REMOVED.global.typeof; RESERVED.STATEMENT.INSERTED.global.new; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.STATEMENT.UPDATED.global.new",1
"85",36,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.CONDITION.REMOVED.global.typeof; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error",11
"86",36,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.CONDITION.REMOVED.global.typeof; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error",2
"87",36,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.CONDITION.REMOVED.global.typeof; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error",1
"88",37,"RESERVED.ASSIGNMENT_RHS.REMOVED.global.true; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.ASSIGNMENT_LHS.UPDATED.global.error; RESERVED.STATEMENT.UPDATED.global.new",54
"89",37,"RESERVED.ASSIGNMENT_RHS.REMOVED.global.true; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.ASSIGNMENT_LHS.UPDATED.global.error; RESERVED.STATEMENT.UPDATED.global.new",1
"90",38,"RESERVED.ASSIGNMENT_RHS.REMOVED.global.true",6
"91",39,"RESERVED.METHOD_CALL.INSERTED.global.this; RESERVED.STATEMENT.INSERTED.global.new",17
