"","Cluster","nome_coluna","Commits"
"3",3,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.CONDITION.INSERTED.global.error; RESERVED.ASSIGNMENT_RHS.INSERTED.global.false; RESERVED.ASSIGNMENT_RHS.INSERTED.global.true; RESERVED.CONDITION.INSERTED.global.false; RESERVED.ASSIGNMENT_LHS.INSERTED.global.this; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.CONDITION.INSERTED.global.callback; RESERVED.CONDITION.UPDATED.global.falsey; METHOD.METHOD_CALL.INSERTED.global.match; CLASS.METHOD_CALL.INSERTED.global.Array; 
RESERVED.STATEMENT.REMOVED.global.var; METHOD.METHOD_CALL.INSERTED.global.indexOf; RESERVED.CONDITION.REMOVED.global.eq; RESERVED.CONDITION.INSERTED.global.eq; RESERVED.CONDITION.INSERTED.global.this; FIELD.CONDITION.INSERTED.global.length; METHOD.METHOD_CALL.INSERTED.global.split; FIELD.CONDITION.INSERTED.global.name; METHOD.METHOD_CALL.INSERTED.global.apply; METHOD.METHOD_CALL.INSERTED.global.call; METHOD.METHOD_CALL.INSERTED.global.forEach; METHOD.METHOD_CALL.INSERTED.global.isNaN; 
METHOD.METHOD_CALL.INSERTED.global.parseInt; METHOD.METHOD_CALL.INSERTED.global.slice; METHOD.METHOD_CALL.INSERTED.global.to; RESERVED.ASSIGNMENT_RHS.REMOVED.global.false; FIELD.CONDITION.INSERTED.global.global; METHOD.METHOD_CALL.INSERTED.global.concat; METHOD.METHOD_CALL.REMOVED.global.split; RESERVED.ARGUMENT.INSERTED.global.false; RESERVED.ARGUMENT.INSERTED.global.null; RESERVED.ASSIGNMENT_LHS.INSERTED.global.callback; RESERVED.ASSIGNMENT_LHS.REMOVED.global.this; RESERVED.ASSIGNMENT_RHS.REMOVED.global.null; 
RESERVED.CONDITION.INSERTED.global.null; RESERVED.METHOD_CALL.INSERTED.global.callback; FIELD.ASSIGNMENT_LHS.INSERTED.global.global; FIELD.CONDITION.INSERTED.global.prototype; METHOD.METHOD_CALL.INSERTED.global.map; METHOD.METHOD_CALL.INSERTED.global.parse; METHOD.METHOD_CALL.INSERTED.global.sub; METHOD.METHOD_CALL.INSERTED.global.unshift; METHOD.METHOD_CALL.REMOVED.global.indexOf; METHOD.METHOD_CALL.REMOVED.global.push; METHOD.METHOD_CALL.REMOVED.global.to; RESERVED.ARGUMENT.INSERTED.global.this; 
RESERVED.ASSIGNMENT_RHS.INSERTED.global.error; RESERVED.ASSIGNMENT_RHS.INSERTED.global.undefined; RESERVED.ASSIGNMENT_RHS.REMOVED.global.true; RESERVED.CONDITION.INSERTED.global.true; RESERVED.CONDITION.INSERTED.global.undefined; RESERVED.CONDITION.REMOVED.global.typeof; RESERVED.CONDITION.UPDATED.global.sheq; RESERVED.STATEMENT.INSERTED.global.break; RESERVED.STATEMENT.INSERTED.global.continue; RESERVED.STATEMENT.REMOVED.global.continue; RESERVED.STATEMENT.REMOVED.global.new; 
RESERVED.STATEMENT.REMOVED.global.return; CLASS.METHOD_CALL.INSERTED.global.Date; CLASS.METHOD_CALL.INSERTED.global.Object; CLASS.METHOD_CALL.UPDATED.global.Array; CLASS.METHOD_CALL.UPDATED.global.Object; FIELD.ASSIGNMENT_LHS.INSERTED.global.name; FIELD.ASSIGNMENT_LHS.REMOVED.global.name; FIELD.ASSIGNMENT_LHS.REMOVED.global.prototype; FIELD.ASSIGNMENT_RHS.INSERTED.global.prototype; FIELD.ASSIGNMENT_RHS.REMOVED.global.length; FIELD.CONDITION.INSERTED.global.message; FIELD.EXPRESSION.INSERTED.global.global; 
FIELD.EXPRESSION.INSERTED.global.length; FIELD.EXPRESSION.INSERTED.global.message; FIELD.EXPRESSION.REMOVED.global.length; FIELD.METHOD_CALL.UPDATED.global.prototype; METHOD.METHOD_CALL.INSERTED.global.; METHOD.METHOD_CALL.INSERTED.global.bind; METHOD.METHOD_CALL.INSERTED.global.charAt; METHOD.METHOD_CALL.INSERTED.global.create; METHOD.METHOD_CALL.INSERTED.global.is; METHOD.METHOD_CALL.INSERTED.global.isFinite; METHOD.METHOD_CALL.INSERTED.global.some; METHOD.METHOD_CALL.INSERTED.global.splice; 
METHOD.METHOD_CALL.INSERTED.global.substr; METHOD.METHOD_CALL.INSERTED.global.toLowerCase; METHOD.METHOD_CALL.INSERTED.global.toUTC; METHOD.METHOD_CALL.INSERTED.global.trim; METHOD.METHOD_CALL.REMOVED.global.parseInt; METHOD.METHOD_CALL.REMOVED.global.trim; METHOD.METHOD_CALL.UPDATED.global.hasOwnProperty; METHOD.METHOD_CALL.UPDATED.global.keys; METHOD.METHOD_CALL.UPDATED.global.match; METHOD.METHOD_CALL.UPDATED.global.slice; METHOD.METHOD_CALL.UPDATED.global.split; RESERVED.ARGUMENT.INSERTED.global.error; 
RESERVED.ARGUMENT.INSERTED.global.package; RESERVED.ARGUMENT.INSERTED.global.true; RESERVED.ARGUMENT.INSERTED.global.typeof; RESERVED.ARGUMENT.REMOVED.global.null; RESERVED.ARGUMENT.REMOVED.global.this; RESERVED.ASSIGNMENT_LHS.INSERTED.global.default; RESERVED.ASSIGNMENT_LHS.INSERTED.global.package; RESERVED.ASSIGNMENT_RHS.INSERTED.global.package; RESERVED.ASSIGNMENT_RHS.INSERTED.global.this; RESERVED.ASSIGNMENT_RHS.REMOVED.global.this; RESERVED.CONDITION.INSERTED.global.throws; 
RESERVED.CONDITION.REMOVED.global.false; RESERVED.CONDITION.REMOVED.global.true; RESERVED.CONDITION.UPDATED.global.error; RESERVED.CONDITION.UPDATED.global.typeof; RESERVED.EXPRESSION.REMOVED.global.error; RESERVED.METHOD_CALL.INSERTED.global.boolean; RESERVED.METHOD_CALL.INSERTED.global.eval; RESERVED.METHOD_CALL.INSERTED.global.package; RESERVED.METHOD_CALL.INSERTED.global.true; RESERVED.METHOD_CALL.REMOVED.global.callback; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error; 
RESERVED.PARAMETER_DECLARATION.REMOVED.global.error; RESERVED.STATEMENT.REMOVED.global.break; RESERVED.STATEMENT.REMOVED.global.try",1576
"11",11,"METHOD.METHOD_CALL.INSERTED.global.replace; RESERVED.ARGUMENT.REMOVED.global.this; RESERVED.ARGUMENT.INSERTED.global.null; RESERVED.ASSIGNMENT_LHS.REMOVED.global.this; METHOD.METHOD_CALL.INSERTED.global.forEach; METHOD.METHOD_CALL.REMOVED.global.replace; RESERVED.ARGUMENT.INSERTED.global.callback; METHOD.METHOD_CALL.REMOVED.global.forEach; RESERVED.ASSIGNMENT_RHS.REMOVED.global.null; RESERVED.CONDITION.UPDATED.global.falsey; RESERVED.METHOD_CALL.REMOVED.global.error; METHOD.METHOD_CALL.INSERTED.global.indexOf; 
METHOD.METHOD_CALL.INSERTED.global.bind; METHOD.METHOD_CALL.INSERTED.global.split; METHOD.METHOD_CALL.INSERTED.global.call; METHOD.METHOD_CALL.INSERTED.global.slice; RESERVED.ARGUMENT.REMOVED.global.callback; RESERVED.ASSIGNMENT_RHS.REMOVED.global.this; METHOD.METHOD_CALL.INSERTED.global.toLowerCase; METHOD.METHOD_CALL.INSERTED.global.map; METHOD.METHOD_CALL.INSERTED.global.to; RESERVED.ARGUMENT.REMOVED.global.true; FIELD.ASSIGNMENT_LHS.INSERTED.global.global; FIELD.EXPRESSION.INSERTED.global.length; 
METHOD.METHOD_CALL.INSERTED.global.trim; RESERVED.ARGUMENT.REMOVED.global.arguments; RESERVED.PARAMETER_DECLARATION.INSERTED.global.callback; RESERVED.PARAMETER_DECLARATION.REMOVED.global.callback; RESERVED.CONDITION.INSERTED.global.this; RESERVED.CONDITION.UPDATED.global.eq; METHOD.METHOD_CALL.REMOVED.global.call; RESERVED.STATEMENT.REMOVED.global.new; METHOD.METHOD_CALL.INSERTED.global.concat; RESERVED.CONDITION.UPDATED.global.typeof; FIELD.EXPRESSION.REMOVED.global.length; 
FIELD.METHOD_CALL.INSERTED.global.prototype; METHOD.METHOD_CALL.INSERTED.global.exec; METHOD.METHOD_CALL.REMOVED.global.concat; RESERVED.METHOD_CALL.INSERTED.global.callback; RESERVED.METHOD_CALL.INSERTED.global.catch; RESERVED.STATEMENT.REMOVED.global.return; METHOD.METHOD_CALL.INSERTED.global.; METHOD.METHOD_CALL.INSERTED.global.match; METHOD.METHOD_CALL.REMOVED.global.to; RESERVED.ARGUMENT.INSERTED.global.typeof; RESERVED.ARGUMENT.INSERTED.global.undefined; RESERVED.ASSIGNMENT_LHS.INSERTED.global.callback; 
RESERVED.ASSIGNMENT_LHS.INSERTED.global.eval; RESERVED.ASSIGNMENT_RHS.INSERTED.global.undefined; RESERVED.ASSIGNMENT_RHS.REMOVED.global.error; RESERVED.ASSIGNMENT_RHS.REMOVED.global.undefined; RESERVED.CONDITION.REMOVED.global.this; RESERVED.METHOD_CALL.UPDATED.global.delete; FIELD.ASSIGNMENT_RHS.INSERTED.global.prototype; METHOD.METHOD_CALL.INSERTED.global.defineProperty; METHOD.METHOD_CALL.INSERTED.global.parseInt; METHOD.METHOD_CALL.INSERTED.global.toUpperCase; RESERVED.ARGUMENT.REMOVED.global.typeof; 
RESERVED.ASSIGNMENT_RHS.INSERTED.global.error; RESERVED.EXPRESSION.INSERTED.global.error; RESERVED.METHOD_CALL.INSERTED.global.export; CLASS.METHOD_CALL.INSERTED.global.Object; FIELD.ASSIGNMENT_RHS.INSERTED.global.name; FIELD.EXPRESSION.INSERTED.global.name; METHOD.METHOD_CALL.INSERTED.global.decodeURIComponent; METHOD.METHOD_CALL.INSERTED.global.splice; METHOD.METHOD_CALL.REMOVED.global.map; METHOD.METHOD_CALL.REMOVED.global.match; METHOD.METHOD_CALL.REMOVED.global.unshift; 
RESERVED.ARGUMENT.REMOVED.global.false; RESERVED.EXPRESSION.REMOVED.global.error; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error; CLASS.METHOD_CALL.INSERTED.global.Date; CLASS.METHOD_CALL.REMOVED.global.Math; FIELD.ASSIGNMENT_LHS.INSERTED.global.name; FIELD.ASSIGNMENT_RHS.REMOVED.global.length; FIELD.EXPRESSION.REMOVED.global.name; FIELD.METHOD_CALL.INSERTED.global.global; FIELD.METHOD_CALL.INSERTED.global.name; FIELD.METHOD_CALL.REMOVED.global.prototype; METHOD.METHOD_CALL.INSERTED.global.apply; 
METHOD.METHOD_CALL.INSERTED.global.charAt; METHOD.METHOD_CALL.INSERTED.global.is; METHOD.METHOD_CALL.INSERTED.global.parse; METHOD.METHOD_CALL.INSERTED.global.pop; METHOD.METHOD_CALL.REMOVED.global.apply; METHOD.METHOD_CALL.REMOVED.global.decodeURIComponent; METHOD.METHOD_CALL.REMOVED.global.defineProperty; METHOD.METHOD_CALL.REMOVED.global.exec; METHOD.METHOD_CALL.REMOVED.global.parseInt; METHOD.METHOD_CALL.REMOVED.global.pop; METHOD.METHOD_CALL.REMOVED.global.toLowerCase; 
METHOD.METHOD_CALL.UPDATED.global.filter; RESERVED.ARGUMENT.INSERTED.global.arguments; RESERVED.ASSIGNMENT_LHS.INSERTED.global.package; RESERVED.ASSIGNMENT_LHS.REMOVED.global.error; RESERVED.CONDITION.INSERTED.global.null; RESERVED.CONDITION.REMOVED.global.false; RESERVED.METHOD_CALL.REMOVED.global.callback; RESERVED.PARAMETER_DECLARATION.REMOVED.global.error; RESERVED.STATEMENT.INSERTED.global.break; FIELD.ASSIGNMENT_LHS.INSERTED.global.lastIndex; FIELD.ASSIGNMENT_LHS.INSERTED.global.length; 
FIELD.ASSIGNMENT_LHS.INSERTED.global.message; FIELD.ASSIGNMENT_LHS.INSERTED.global.source; FIELD.ASSIGNMENT_LHS.REMOVED.global.message; FIELD.ASSIGNMENT_RHS.REMOVED.global.message; FIELD.ASSIGNMENT_RHS.REMOVED.global.name; FIELD.CONDITION.INSERTED.global.name; METHOD.METHOD_CALL.INSERTED.global.encodeURIComponent; METHOD.METHOD_CALL.INSERTED.global.keys; METHOD.METHOD_CALL.INSERTED.global.min; METHOD.METHOD_CALL.INSERTED.global.reduce; METHOD.METHOD_CALL.INSERTED.global.setMilliseconds; 
METHOD.METHOD_CALL.INSERTED.global.shift; METHOD.METHOD_CALL.INSERTED.global.toJSON; METHOD.METHOD_CALL.INSERTED.global.unshift; METHOD.METHOD_CALL.INSERTED.global.valueOf; METHOD.METHOD_CALL.REMOVED.global.is; METHOD.METHOD_CALL.REMOVED.global.keys; METHOD.METHOD_CALL.REMOVED.global.min; METHOD.METHOD_CALL.REMOVED.global.substr; METHOD.METHOD_CALL.REMOVED.global.toJSON; METHOD.METHOD_CALL.UPDATED.global.slice; METHOD.METHOD_CALL.UPDATED.global.sort; METHOD.METHOD_CALL.UPDATED.global.split; 
RESERVED.ARGUMENT.UPDATED.global.arguments; RESERVED.ASSIGNMENT_LHS.INSERTED.global.class; RESERVED.ASSIGNMENT_LHS.REMOVED.global.default; RESERVED.ASSIGNMENT_LHS.REMOVED.global.eval; RESERVED.ASSIGNMENT_RHS.INSERTED.global.default; RESERVED.CONDITION.INSERTED.global.undefined; RESERVED.CONDITION.REMOVED.global.undefined; RESERVED.EXCEPTION_CATCH.INSERTED.global.error; RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.METHOD_CALL.INSERTED.global.throw; RESERVED.METHOD_CALL.REMOVED.global.catch; 
RESERVED.METHOD_DECLARATION.REMOVED.global.static; RESERVED.STATEMENT.UPDATED.global.try; CLASS.ARGUMENT.INSERTED.global.Date; CLASS.ARGUMENT.INSERTED.global.JSON; CLASS.METHOD_CALL.INSERTED.global.JSON; CLASS.METHOD_CALL.REMOVED.global.Date; CLASS.METHOD_CALL.REMOVED.global.Number; CLASS.METHOD_CALL.REMOVED.global.Object; CLASS.METHOD_CALL.UPDATED.global.JSON; CLASS.METHOD_CALL.UPDATED.global.Object; FIELD.ARGUMENT.INSERTED.global.constructor; FIELD.ARGUMENT.INSERTED.global.source; 
FIELD.ASSIGNMENT_LHS.REMOVED.global.name; FIELD.ASSIGNMENT_LHS.UPDATED.global.prototype; FIELD.ASSIGNMENT_RHS.INSERTED.global.message; FIELD.ASSIGNMENT_RHS.REMOVED.global.prototype; FIELD.EXPRESSION.INSERTED.global.source; FIELD.EXPRESSION.REMOVED.global.message; FIELD.METHOD_CALL.INSERTED.global.source; FIELD.METHOD_CALL.REMOVED.global.global; FIELD.METHOD_CALL.REMOVED.global.length; METHOD.ARGUMENT.INSERTED.global.ify; METHOD.ARGUMENT.REMOVED.global.exec; METHOD.METHOD_CALL.INSERTED.global.compile; 
METHOD.METHOD_CALL.INSERTED.global.create; METHOD.METHOD_CALL.INSERTED.global.encodeURI; METHOD.METHOD_CALL.INSERTED.global.getTime; METHOD.METHOD_CALL.INSERTED.global.hasOwnProperty; METHOD.METHOD_CALL.INSERTED.global.isNaN; METHOD.METHOD_CALL.INSERTED.global.lastIndexOf; METHOD.METHOD_CALL.INSERTED.global.reduceRight; METHOD.METHOD_CALL.INSERTED.global.reverse; METHOD.METHOD_CALL.INSERTED.global.setTime; METHOD.METHOD_CALL.INSERTED.global.some; METHOD.METHOD_CALL.INSERTED.global.unescape; 
METHOD.METHOD_CALL.REMOVED.global.charAt; METHOD.METHOD_CALL.REMOVED.global.filter; METHOD.METHOD_CALL.REMOVED.global.getTime; METHOD.METHOD_CALL.REMOVED.global.ify; METHOD.METHOD_CALL.REMOVED.global.isNaN; METHOD.METHOD_CALL.REMOVED.global.parseFloat; METHOD.METHOD_CALL.REMOVED.global.random; METHOD.METHOD_CALL.REMOVED.global.reduce; METHOD.METHOD_CALL.REMOVED.global.slice; METHOD.METHOD_CALL.REMOVED.global.splice; METHOD.METHOD_CALL.REMOVED.global.split; METHOD.METHOD_CALL.REMOVED.global.sub; 
METHOD.METHOD_CALL.REMOVED.global.toFixed; METHOD.METHOD_CALL.REMOVED.global.toUTC; METHOD.METHOD_CALL.REMOVED.global.trim; METHOD.METHOD_CALL.UPDATED.global.apply; METHOD.METHOD_CALL.UPDATED.global.concat; METHOD.METHOD_CALL.UPDATED.global.exec; METHOD.METHOD_CALL.UPDATED.global.forEach; METHOD.METHOD_CALL.UPDATED.global.ify; METHOD.METHOD_CALL.UPDATED.global.lastIndexOf; METHOD.METHOD_CALL.UPDATED.global.match; METHOD.METHOD_CALL.UPDATED.global.push; METHOD.METHOD_CALL.UPDATED.global.sub; 
METHOD.METHOD_CALL.UPDATED.global.toLowerCase; RESERVED.ARGUMENT.INSERTED.global.package; RESERVED.ARGUMENT.REMOVED.global.in; RESERVED.ARGUMENT.REMOVED.global.undefined; RESERVED.ASSIGNMENT_LHS.INSERTED.global.boolean; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.ASSIGNMENT_LHS.INSERTED.global.private; RESERVED.ASSIGNMENT_LHS.INSERTED.global.yield; RESERVED.ASSIGNMENT_LHS.REMOVED.global.callback; RESERVED.ASSIGNMENT_LHS.REMOVED.global.delete; RESERVED.ASSIGNMENT_LHS.REMOVED.global.import; 
RESERVED.ASSIGNMENT_LHS.REMOVED.global.in; RESERVED.ASSIGNMENT_LHS.REMOVED.global.native; RESERVED.ASSIGNMENT_LHS.REMOVED.global.null; RESERVED.ASSIGNMENT_LHS.REMOVED.global.package; RESERVED.ASSIGNMENT_LHS.REMOVED.global.undefined; RESERVED.ASSIGNMENT_RHS.INSERTED.global.package; RESERVED.ASSIGNMENT_RHS.REMOVED.global.arguments; RESERVED.ASSIGNMENT_RHS.REMOVED.global.default; RESERVED.ASSIGNMENT_RHS.REMOVED.global.import; RESERVED.CONDITION.REMOVED.global.null; RESERVED.CONDITION.REMOVED.global.true; 
RESERVED.CONDITION.UPDATED.global.arguments; RESERVED.EXPRESSION.INSERTED.global.callback; RESERVED.METHOD_CALL.INSERTED.global.delete; RESERVED.METHOD_CALL.INSERTED.global.eval; RESERVED.METHOD_CALL.INSERTED.global.finally; RESERVED.METHOD_CALL.INSERTED.global.package; RESERVED.METHOD_CALL.INSERTED.global.static; RESERVED.METHOD_CALL.INSERTED.global.with; RESERVED.METHOD_CALL.REMOVED.global.delete; RESERVED.METHOD_CALL.REMOVED.global.export; RESERVED.METHOD_CALL.REMOVED.global.static; 
RESERVED.METHOD_CALL.REMOVED.global.throws; RESERVED.METHOD_CALL.REMOVED.global.true; RESERVED.METHOD_CALL.UPDATED.global.catch; RESERVED.METHOD_CALL.UPDATED.global.export; RESERVED.METHOD_CALL.UPDATED.global.finally; RESERVED.PARAMETER_DECLARATION.REMOVED.global.undefined; RESERVED.STATEMENT.INSERTED.global.continue; RESERVED.STATEMENT.REMOVED.global.continue",1080
"67",68,"RESERVED.STATEMENT.UPDATED.global.var; RESERVED.ASSIGNMENT_RHS.INSERTED.global.true; METHOD.METHOD_CALL.INSERTED.global.replace; RESERVED.ASSIGNMENT_RHS.INSERTED.global.false; RESERVED.ASSIGNMENT_RHS.REMOVED.global.true; RESERVED.ARGUMENT.INSERTED.global.true; RESERVED.CONDITION.UPDATED.global.falsey; METHOD.METHOD_CALL.INSERTED.global.toLowerCase; RESERVED.ARGUMENT.INSERTED.global.this; RESERVED.ASSIGNMENT_RHS.REMOVED.global.null; METHOD.METHOD_CALL.INSERTED.global.split; 
METHOD.METHOD_CALL.INSERTED.global.trim; METHOD.METHOD_CALL.REMOVED.global.replace; RESERVED.ARGUMENT.REMOVED.global.this; RESERVED.ASSIGNMENT_LHS.INSERTED.global.this; METHOD.METHOD_CALL.INSERTED.global.map; RESERVED.ARGUMENT.REMOVED.global.true; RESERVED.CONDITION.INSERTED.global.typeof; RESERVED.METHOD_CALL.INSERTED.global.error; METHOD.METHOD_CALL.REMOVED.global.apply; METHOD.METHOD_CALL.UPDATED.global.filter; RESERVED.CONDITION.INSERTED.global.this; FIELD.EXPRESSION.INSERTED.global.length; 
FIELD.EXPRESSION.INSERTED.global.name; METHOD.METHOD_CALL.INSERTED.global.concat; METHOD.METHOD_CALL.INSERTED.global.forEach; METHOD.METHOD_CALL.INSERTED.global.parseInt; METHOD.METHOD_CALL.INSERTED.global.slice; METHOD.METHOD_CALL.INSERTED.global.to; METHOD.METHOD_CALL.INSERTED.global.toUpperCase; METHOD.METHOD_CALL.REMOVED.global.unshift; RESERVED.ARGUMENT.INSERTED.global.false; RESERVED.ARGUMENT.REMOVED.global.null; RESERVED.ASSIGNMENT_RHS.REMOVED.global.this; RESERVED.EXPRESSION.REMOVED.global.error; 
RESERVED.EXPRESSION.REMOVED.global.this; RESERVED.STATEMENT.UPDATED.global.return; CLASS.METHOD_CALL.REMOVED.global.Math; FIELD.ASSIGNMENT_RHS.INSERTED.global.name; FIELD.CONDITION.INSERTED.global.length; FIELD.EXPRESSION.REMOVED.global.length; FIELD.EXPRESSION.REMOVED.global.name; FIELD.METHOD_CALL.INSERTED.global.global; FIELD.METHOD_CALL.REMOVED.global.global; METHOD.METHOD_CALL.INSERTED.global.; METHOD.METHOD_CALL.INSERTED.global.hasOwnProperty; METHOD.METHOD_CALL.INSERTED.global.is; 
METHOD.METHOD_CALL.INSERTED.global.parse; METHOD.METHOD_CALL.INSERTED.global.pop; METHOD.METHOD_CALL.INSERTED.global.unshift; METHOD.METHOD_CALL.REMOVED.global.concat; METHOD.METHOD_CALL.REMOVED.global.pop; METHOD.METHOD_CALL.REMOVED.global.slice; METHOD.METHOD_CALL.REMOVED.global.toLowerCase; RESERVED.ARGUMENT.INSERTED.global.callback; RESERVED.ARGUMENT.INSERTED.global.typeof; RESERVED.ARGUMENT.REMOVED.global.callback; RESERVED.ASSIGNMENT_LHS.INSERTED.global.default; RESERVED.ASSIGNMENT_LHS.REMOVED.global.package; 
RESERVED.ASSIGNMENT_LHS.REMOVED.global.this; RESERVED.ASSIGNMENT_RHS.INSERTED.global.undefined; RESERVED.CONDITION.REMOVED.global.this; RESERVED.CONDITION.UPDATED.global.new; RESERVED.EXPRESSION.INSERTED.global.this; RESERVED.METHOD_CALL.INSERTED.global.callback; RESERVED.PARAMETER_DECLARATION.INSERTED.global.callback; RESERVED.VARIABLE_DECLARATION.INSERTED.global.undefined; CLASS.ARGUMENT.REMOVED.global.Object; CLASS.METHOD_CALL.INSERTED.global.Array; CLASS.METHOD_CALL.INSERTED.global.JSON; 
CLASS.METHOD_CALL.REMOVED.global.Array; CLASS.METHOD_CALL.REMOVED.global.JSON; CLASS.METHOD_CALL.REMOVED.global.Object; FIELD.ASSIGNMENT_LHS.INSERTED.global.message; FIELD.ASSIGNMENT_LHS.INSERTED.global.name; FIELD.ASSIGNMENT_LHS.REMOVED.global.name; FIELD.ASSIGNMENT_RHS.INSERTED.global.prototype; FIELD.ASSIGNMENT_RHS.REMOVED.global.global; FIELD.ASSIGNMENT_RHS.REMOVED.global.length; FIELD.ASSIGNMENT_RHS.REMOVED.global.name; FIELD.CONDITION.INSERTED.global.global; FIELD.CONDITION.INSERTED.global.name; 
FIELD.CONDITION.REMOVED.global.length; FIELD.EXPRESSION.REMOVED.global.message; FIELD.EXPRESSION.UPDATED.global.length; FIELD.METHOD_CALL.INSERTED.global.name; FIELD.METHOD_CALL.INSERTED.global.prototype; FIELD.METHOD_CALL.REMOVED.global.name; FIELD.METHOD_CALL.REMOVED.global.prototype; METHOD.ARGUMENT.INSERTED.global.create; METHOD.METHOD_CALL.INSERTED.global.bind; METHOD.METHOD_CALL.INSERTED.global.call; METHOD.METHOD_CALL.INSERTED.global.compile; METHOD.METHOD_CALL.INSERTED.global.create; 
METHOD.METHOD_CALL.INSERTED.global.decodeURIComponent; METHOD.METHOD_CALL.INSERTED.global.encodeURI; METHOD.METHOD_CALL.INSERTED.global.encodeURIComponent; METHOD.METHOD_CALL.INSERTED.global.exec; METHOD.METHOD_CALL.INSERTED.global.indexOf; METHOD.METHOD_CALL.INSERTED.global.reduce; METHOD.METHOD_CALL.INSERTED.global.shift; METHOD.METHOD_CALL.INSERTED.global.toJSON; METHOD.METHOD_CALL.INSERTED.global.unescape; METHOD.METHOD_CALL.REMOVED.global.abs; METHOD.METHOD_CALL.REMOVED.global.call; 
METHOD.METHOD_CALL.REMOVED.global.compile; METHOD.METHOD_CALL.REMOVED.global.create; METHOD.METHOD_CALL.REMOVED.global.encodeURIComponent; METHOD.METHOD_CALL.REMOVED.global.filter; METHOD.METHOD_CALL.REMOVED.global.getDay; METHOD.METHOD_CALL.REMOVED.global.getFullYear; METHOD.METHOD_CALL.REMOVED.global.lastIndexOf; METHOD.METHOD_CALL.REMOVED.global.max; METHOD.METHOD_CALL.REMOVED.global.Number; METHOD.METHOD_CALL.REMOVED.global.parse; METHOD.METHOD_CALL.REMOVED.global.parseFloat; 
METHOD.METHOD_CALL.REMOVED.global.parseInt; METHOD.METHOD_CALL.REMOVED.global.pow; METHOD.METHOD_CALL.REMOVED.global.random; METHOD.METHOD_CALL.REMOVED.global.shift; METHOD.METHOD_CALL.REMOVED.global.substr; METHOD.METHOD_CALL.REMOVED.global.to; METHOD.METHOD_CALL.REMOVED.global.trim; METHOD.METHOD_CALL.UPDATED.global.apply; METHOD.METHOD_CALL.UPDATED.global.concat; METHOD.METHOD_CALL.UPDATED.global.is; METHOD.METHOD_CALL.UPDATED.global.pop; METHOD.METHOD_CALL.UPDATED.global.shift; 
METHOD.METHOD_CALL.UPDATED.global.split; METHOD.METHOD_CALL.UPDATED.global.toLowerCase; METHOD.METHOD_CALL.UPDATED.global.trim; METHOD.METHOD_CALL.UPDATED.global.unshift; RESERVED.ARGUMENT.INSERTED.global.error; RESERVED.ARGUMENT.INSERTED.global.null; RESERVED.ARGUMENT.INSERTED.global.undefined; RESERVED.ARGUMENT.REMOVED.global.false; RESERVED.ARGUMENT.REMOVED.global.typeof; RESERVED.ARGUMENT.REMOVED.global.undefined; RESERVED.ARGUMENT.UPDATED.global.callback; RESERVED.ASSIGNMENT_LHS.INSERTED.global.boolean; 
RESERVED.ASSIGNMENT_LHS.INSERTED.global.callback; RESERVED.ASSIGNMENT_LHS.INSERTED.global.error; RESERVED.ASSIGNMENT_LHS.INSERTED.global.int; RESERVED.ASSIGNMENT_LHS.INSERTED.global.short; RESERVED.ASSIGNMENT_LHS.INSERTED.global.static; RESERVED.ASSIGNMENT_LHS.INSERTED.global.typeof; RESERVED.ASSIGNMENT_LHS.REMOVED.global.boolean; RESERVED.ASSIGNMENT_LHS.REMOVED.global.callback; RESERVED.ASSIGNMENT_LHS.REMOVED.global.char; RESERVED.ASSIGNMENT_LHS.REMOVED.global.error; RESERVED.ASSIGNMENT_LHS.REMOVED.global.with; 
RESERVED.CONDITION.INSERTED.global.arguments; RESERVED.CONDITION.INSERTED.global.package; RESERVED.CONDITION.REMOVED.global.arguments; RESERVED.CONDITION.REMOVED.global.typeof; RESERVED.CONDITION.REMOVED.global.undefined; RESERVED.CONDITION.UPDATED.global.eq; RESERVED.CONDITION.UPDATED.global.typeof; RESERVED.EXPRESSION.INSERTED.global.long; RESERVED.EXPRESSION.REMOVED.global.long; RESERVED.METHOD_CALL.INSERTED.global.catch; RESERVED.METHOD_CALL.INSERTED.global.false; RESERVED.METHOD_CALL.INSERTED.global.static; 
RESERVED.METHOD_CALL.INSERTED.global.true; RESERVED.METHOD_CALL.REMOVED.global.catch; RESERVED.METHOD_CALL.REMOVED.global.error; RESERVED.METHOD_CALL.REMOVED.global.static; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error; RESERVED.PARAMETER_DECLARATION.REMOVED.global.undefined; RESERVED.STATEMENT.INSERTED.global.return; RESERVED.STATEMENT.REMOVED.global.return; RESERVED.STATEMENT.REMOVED.global.try; RESERVED.VARIABLE_DECLARATION.INSERTED.global.package; RESERVED.VARIABLE_DECLARATION.INSERTED.global.static; 
RESERVED.VARIABLE_DECLARATION.REMOVED.global.undefined",780
