@relation DataSet-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.RemoveByName-E.*UNCHANGED.*-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.RemoveByName-E(.*:global:test)

@attribute ID numeric
@attribute ProjectID string
@attribute BugFixingCommit string
@attribute CommitURL string
@attribute BuggyCommitID string
@attribute RepairedCommitID string
@attribute Class string
@attribute Method string
@attribute Cluster string
@attribute ModifiedStatementCount numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ForInLoop numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ForInLoop numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:EmptyStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:EmptyStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:EmptyStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:ExpressionStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:ExpressionStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ExpressionStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ExpressionStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:FunctionNode numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:FunctionNode numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:FunctionNode numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:FunctionNode numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:IfStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:IfStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:IfStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:IfStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:BreakStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:BreakStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:BreakStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:ReturnStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ReturnStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ReturnStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:ReturnStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:TryStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:TryStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:TryStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:SwitchStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:SwitchStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:SwitchStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:VariableDeclaration numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:VariableDeclaration numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:VariableDeclaration numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:VariableDeclaration numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ThrowStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ThrowStatement numeric

@data
104,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/be842321b356e709e78db08ee9323e5646b6d807,c7e5d329285eee37c8991d25d15445d8860c4e61,be842321b356e709e78db08ee9323e5646b6d807,'\'ClassNA\'','\'MethodNA\'','?',1,0,0,0,0,0,0,4,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/df614a60f4eea6d8bae60a083084ce2eef60c2ac,04c979daeca0c6572e1f25019999fbdc49d8ecac,df614a60f4eea6d8bae60a083084ce2eef60c2ac,'\'ClassNA\'','\'MethodNA\'',cluster1,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/d247937f9f24ba2537ffe4cb95790795c983f583,0541a8704b2596f1b9993324ca6759799e75b0c2,d247937f9f24ba2537ffe4cb95790795c983f583,'\'ClassNA\'','\'MethodNA\'','?',0.2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/2c3f8f7ffb859a44816009f735fc94c7e3257d56,15d83dfff935ae8a797f8594b0ad9defc90ed285,2c3f8f7ffb859a44816009f735fc94c7e3257d56,'\'ClassNA\'','\'MethodNA\'','?',0.8,0,0,0,0,0,2,4,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
275,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/8c88f7bf3777b357b770cae3e9ab25e7b1064a54,9cc42cb0a75cb63eaccdd5ef7b657f057d814c7c,8c88f7bf3777b357b770cae3e9ab25e7b1064a54,'\'ClassNA\'','\'MethodNA\'','?',0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/9cc42cb0a75cb63eaccdd5ef7b657f057d814c7c,da44b1e39052ab23957f9ae9c05249f987612908,9cc42cb0a75cb63eaccdd5ef7b657f057d814c7c,'\'ClassNA\'','\'MethodNA\'',cluster8,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/da44b1e39052ab23957f9ae9c05249f987612908,33273d0a27a00464b9fde60bce83d777959ecfc4,da44b1e39052ab23957f9ae9c05249f987612908,'\'ClassNA\'','\'MethodNA\'',cluster8,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/3b1ae309a9e545c0a19ea27547c5f36ffa9db402,1523a0037af7e8926e0690b0f6702534622c0645,3b1ae309a9e545c0a19ea27547c5f36ffa9db402,'\'ClassNA\'','\'MethodNA\'','?',0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/1523a0037af7e8926e0690b0f6702534622c0645,23bcd0f413a48d5496737e349a52eb9c8e59a723,1523a0037af7e8926e0690b0f6702534622c0645,'\'ClassNA\'','\'MethodNA\'','?',1,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
322,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/868c76bd0ea0b5d80f2a8ff58fb22fa72fd34be7,5d33e370b9ddd9ddb1abd8de0ecf0e6b27ad2a2c,868c76bd0ea0b5d80f2a8ff58fb22fa72fd34be7,'\'ClassNA\'','\'MethodNA\'','?',0.6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
